127.0.0.1, 2017-07-14 19:21:23, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.644000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:21:24, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:21:25, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-14 19:21:53, GET, /admin/default/index, HTTP/1.1, 200, 0.332000
127.0.0.1, 2017-07-14 19:21:53, GET, /admin/static/_2.15.1/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:21:53, GET, /admin/static/_2.15.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.031000
127.0.0.1, 2017-07-14 19:21:53, GET, /admin/static/_2.15.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.035000
127.0.0.1, 2017-07-14 19:21:53, GET, /admin/static/_2.15.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2017-07-14 19:21:53, GET, /admin/static/_2.15.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2017-07-14 19:21:53, GET, /admin/static/_2.15.1/css/calendar.css, HTTP/1.1, 200, 0.009000
 200, 0.008000
127.0.0.1, 2017-07-14 19:21:53, GET, /admin/static/_2.15.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:21:53, GET, /admin/static/_2.15.1/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:21:53, GET, /admin/static/_2.15.1/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-14 19:21:53, GET, /admin/static/_2.15.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-14 19:21:53, GET, /admin/static/_2.15.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-14 19:21:53, GET, /admin/static/_2.15.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:21:53, GET, /admin/static/_2.15.1/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:21:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-07-14 19:22:03, POST, /admin/default/index, HTTP/1.1, 303, 0.045000
127.0.0.1, 2017-07-14 19:22:03, GET, /admin/default/site, HTTP/1.1, 200, 0.128000
127.0.0.1, 2017-07-14 19:22:03, GET, /admin/static/_2.15.1/images/folder_locked.png, HTTP/1.1, 200, 0.057000
127.0.0.1, 2017-07-14 19:22:03, GET, /admin/static/_2.15.1/images/folder.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2017-07-14 19:22:03, POST, /admin/default/check_version, HTTP/1.1, 200, 0.284000
127.0.0.1, 2017-07-14 19:22:03, GET, /admin/static/_2.15.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:22:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-07-14 19:22:39, POST, /admin/default/site, HTTP/1.1, 303, 1.039000
127.0.0.1, 2017-07-14 19:22:40, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.463000
127.0.0.1, 2017-07-14 19:22:40, GET, /admin/static/_2.15.1/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:22:40, GET, /admin/static/_2.15.1/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:22:40, GET, /admin/static/_2.15.1/images/delete_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-14 19:22:40, GET, /admin/static/_2.15.1/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:22:40, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-07-14 19:27:13, GET, /admin/default/site, HTTP/1.1, 200, 0.087000
127.0.0.1, 2017-07-14 19:27:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/default/index, HTTP/1.1, 200, 0.454000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/js/share.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/js/web2py.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/images/background.jpg, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/images/gplus-32.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-14 19:27:19, GET, /pluralsight/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:28:21, GET, /admin/default/index, HTTP/1.1, 303, 0.041000
127.0.0.1, 2017-07-14 19:28:22, GET, /admin/default/site, HTTP/1.1, 200, 0.265000
127.0.0.1, 2017-07-14 19:28:23, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-07-14 19:28:47, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.115000
127.0.0.1, 2017-07-14 19:28:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-07-14 19:29:07, POST, /admin/default/create_file, HTTP/1.1, 303, 0.100000
127.0.0.1, 2017-07-14 19:29:08, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.541000
127.0.0.1, 2017-07-14 19:29:09, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.112000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.003000
